date,open,high,low,close,to symbol,from symbol
2024-10-17,0.91666,0.9246,0.9159,0.9235,EUR,USD
2024-10-13,0.89794,0.91695,0.8972,0.9153,EUR,USD
2024-09-29,0.89995,0.90058,0.89187,0.89527,EUR,USD
2024-09-22,0.89851,0.9033,0.89432,0.89599,EUR,USD
2024-09-15,0.906,0.90886,0.89804,0.90184,EUR,USD
2024-09-08,0.90355,0.90631,0.89689,0.90194,EUR,USD
2024-09-01,0.89568,0.90559,0.8943,0.9054,EUR,USD
2024-08-25,0.902,0.90314,0.89277,0.89382,EUR,USD
2024-08-18,0.91439,0.91611,0.90313,0.90703,EUR,USD
2024-08-11,0.91316,0.91892,0.91215,0.91627,EUR,USD
2024-08-04,0.92426,0.92779,0.90848,0.91652,EUR,USD
2024-07-28,0.91829,0.92566,0.9174,0.92134,EUR,USD
2024-07-21,0.9173,0.91978,0.91348,0.9175,EUR,USD
2024-07-14,0.92328,0.92539,0.91559,0.91865,EUR,USD
2024-07-07,0.93135,0.93365,0.9219,0.9237,EUR,USD
2024-06-30,0.93173,0.93741,0.9278,0.93151,EUR,USD
2024-06-23,0.93104,0.93704,0.92926,0.93565,EUR,USD
2024-06-16,0.929,0.93737,0.92151,0.93439,EUR,USD
2024-06-09,0.91681,0.93165,0.9159,0.92774,EUR,USD
2024-06-02,0.92065,0.92687,0.9182,0.9214,EUR,USD
2024-05-26,0.92074,0.9254,0.9195,0.92186,EUR,USD
2024-05-19,0.92648,0.92795,0.9177,0.9195,EUR,USD
2024-05-12,0.92872,0.93239,0.9253,0.92847,EUR,USD
2024-05-05,0.93321,0.93896,0.92512,0.92953,EUR,USD
2024-04-28,0.93861,0.93991,0.92998,0.93398,EUR,USD
2024-04-21,0.94111,0.94303,0.9353,0.93824,EUR,USD
2024-04-14,0.9205,0.9413,0.9184,0.939,EUR,USD
2024-04-07,0.93134,0.93237,0.91947,0.92332,EUR,USD
2024-03-31,0.92266,0.93183,0.92046,0.92655,EUR,USD
2024-03-24,0.91963,0.9257,0.9137,0.92528,EUR,USD
2024-03-17,0.9148,0.91964,0.91285,0.9189,EUR,USD
2024-03-10,0.92122,0.92228,0.91091,0.91383,EUR,USD
2024-03-03,0.92158,0.92604,0.92026,0.92228,EUR,USD
2024-02-25,0.92804,0.92915,0.91859,0.92421,EUR,USD
2024-02-18,0.92831,0.93497,0.9263,0.92722,EUR,USD
2024-02-11,0.93094,0.93244,0.92546,0.92608,EUR,USD
2024-02-04,0.92298,0.93243,0.9176,0.92764,EUR,USD
2024-01-28,0.9191,0.92617,0.91479,0.92221,EUR,USD
2024-01-21,0.9136,0.92205,0.91352,0.91808,EUR,USD
2024-01-14,0.9131,0.91637,0.9098,0.9136,EUR,USD
2024-01-07,0.9059,0.91913,0.9053,0.91389,EUR,USD
2023-12-31,0.90742,0.9083,0.89771,0.9045,EUR,USD
2023-12-24,0.91543,0.91608,0.9056,0.9069,EUR,USD
2023-12-17,0.9288,0.92921,0.9086,0.91783,EUR,USD
2023-12-10,0.9227,0.93184,0.9218,0.92887,EUR,USD
2023-12-03,0.91254,0.92544,0.9077,0.91843,EUR,USD
2023-11-26,0.91358,0.92127,0.9118,0.91404,EUR,USD
2023-11-19,0.93442,0.93514,0.91365,0.91684,EUR,USD
2023-11-12,0.9327,0.93829,0.93214,0.93544,EUR,USD
2023-11-05,0.94206,0.95031,0.92963,0.93178,EUR,USD
2023-10-29,0.93722,0.95,0.93541,0.94675,EUR,USD
2023-10-22,0.94748,0.94993,0.9392,0.94429,EUR,USD
2023-10-15,0.94528,0.95273,0.93993,0.95043,EUR,USD
2023-10-08,0.95413,0.95695,0.94356,0.9463,EUR,USD
2023-10-01,0.94414,0.95312,0.9418,0.9465,EUR,USD
2023-09-24,0.93522,0.94542,0.93223,0.9391,EUR,USD
2023-09-17,0.9302,0.94032,0.9289,0.93736,EUR,USD
2023-09-10,0.9264,0.93566,0.926,0.933,EUR,USD
2023-09-03,0.92374,0.92816,0.91362,0.928,EUR,USD
2023-08-27,0.91757,0.92879,0.91475,0.92615,EUR,USD
2023-08-20,0.9166,0.92196,0.91327,0.91949,EUR,USD
2023-08-13,0.90883,0.91933,0.90429,0.91371,EUR,USD
2023-08-06,0.90929,0.91629,0.90572,0.90887,EUR,USD
2023-07-30,0.9039,0.91349,0.8967,0.90709,EUR,USD
2023-07-23,0.88987,0.90344,0.88686,0.89885,EUR,USD
